Rivière-des-Prairies-Pointe-aux-Trembles,1
Montréal-Est,2
Anjou,3
Montréal-Nord,4
Saint-Léonard,5
Mercier-Hochelaga-Maisonneuve,6
Villeray-Saint-Michel-Parc-Extension,7
Rosemont-La Petite-Patrie,8
Ahuntsic-Cartierville,9
Le Plateau-Mont-Royal,10
Ville-Marie,11
Outremont,12
Westmount,13
Le Sud-Ouest,14
Verdun,15
LaSalle,16
Côte-des-Neiges-Notre-Dame-de-Grâce,17
Hampstead,18
Montréal-Ouest,19
Côte-Saint-Luc,20
Mont-Royal,21
Saint-Laurent,22
Dorval,23
L'Île-Dorval,24
Pointe-Claire,25
Dollard-Des Ormeaux,26
Pierrefonds-Roxboro,27
Kirkland,28
Beaconsfield,29
Baie d'Urfé,30
L'Île-Bizard-Sainte-Genevièvre,31
Senneville,32
Saint-Anne-de-Bellevue,33
Lachine,34